fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,alcohol per liter,total acidity,acid ratio,normalized residual sugar,sweetness level,WQI
9.8,0.44,0.47,2.5,0.063,9.0,28.0,0.9981,3.24,0.65,10.8,Medium,10.779480000000001,Medium,0.047,2.5047590421801424,Dry,17.606377578176982
12.0,0.39,0.66,3.0,0.093,12.0,30.0,0.9996,3.18,0.63,10.8,Medium,10.79568,High,0.055,3.0012004801920766,Dry,14.267331556648896
10.4,0.34,0.58,3.7,0.174,6.0,16.0,0.997,3.19,0.7,11.3,Medium,11.266100000000002,High,0.05272727272727273,3.711133400200602,Dry,15.371556464494398
12.5,0.46,0.49,4.5,0.07,26.0,49.0,0.9981,3.05,0.57,9.6,Low,9.58176,High,0.03769230769230769,4.508566275924256,Medium,11.04537478137316
9.0,0.43,0.34,2.5,0.08,26.0,86.0,0.9987,3.38,0.62,9.5,Medium,9.48765,Medium,0.03777777777777778,2.5032542304996497,Dry,18.88284895029008
9.1,0.45,0.35,2.4,0.08,23.0,78.0,0.9987,3.38,0.62,9.5,Low,9.48765,Medium,0.034999999999999996,2.4031240612796636,Dry,19.285941898106966
7.1,0.735,0.16,1.9,0.1,15.0,77.0,0.9966,3.27,0.64,9.3,Low,9.26838,Medium,0.02,1.9064820389323698,Dry,28.47651664286043
9.9,0.4,0.53,6.7,0.097,6.0,19.0,0.9986,3.27,0.82,11.7,Medium,11.68362,Medium,0.053000000000000005,6.709393150410575,Medium,17.809034698724364
8.8,0.52,0.34,2.7,0.087,24.0,122.0,0.9982,3.26,0.61,9.5,Low,9.482899999999999,Medium,0.03777777777777778,2.704868763774795,Dry,27.727140389605356
8.6,0.725,0.24,6.6,0.117,31.0,134.0,1.0014,3.32,1.07,9.3,Low,9.313020000000002,Medium,0.026666666666666665,6.590772917914919,Medium,23.91262610584179
10.6,0.48,0.64,2.2,0.111,6.0,20.0,0.997,3.26,0.66,11.7,Medium,11.6649,High,0.05818181818181818,2.2066198595787365,Dry,18.706675014885345
7.0,0.58,0.12,1.9,0.091,34.0,124.0,0.9956,3.44,0.48,10.5,Low,10.453800000000001,Medium,0.015,1.9083969465648853,Dry,21.150227727391584
11.9,0.38,0.51,2.0,0.121,7.0,20.0,0.9996,3.24,0.76,10.4,Medium,10.395840000000002,High,0.0425,2.000800320128051,Dry,16.248549273307336
6.8,0.77,0.0,1.8,0.066,34.0,52.0,0.9976,3.62,0.68,9.9,Low,9.876240000000001,Medium,0.0,1.8043303929430634,Dry,10.685421503917144
9.5,0.56,0.33,2.4,0.089,35.0,67.0,0.9972,3.28,0.73,11.8,Medium,11.766960000000001,Medium,0.033,2.406738868832732,Dry,11.715431768891397
6.6,0.84,0.03,2.3,0.059,32.0,48.0,0.9952,3.52,0.56,12.3,Medium,12.240960000000001,Medium,0.004285714285714286,2.3110932475884245,Dry,10.405085273706694
7.7,0.96,0.2,2.0,0.047,15.0,60.0,0.9955,3.36,0.44,10.9,Low,10.850950000000001,Medium,0.022222222222222223,2.0090406830738323,Dry,22.47572398181587
10.5,0.24,0.47,2.1,0.066,6.0,24.0,0.9978,3.15,0.9,11.0,Medium,10.9758,High,0.042727272727272725,2.1046301864101022,Dry,21.942557340964118
7.7,0.96,0.2,2.0,0.047,15.0,60.0,0.9955,3.36,0.44,10.9,Low,10.850950000000001,Medium,0.022222222222222223,2.0090406830738323,Dry,22.47572398181587
6.6,0.84,0.03,2.3,0.059,32.0,48.0,0.9952,3.52,0.56,12.3,Medium,12.240960000000001,Medium,0.004285714285714286,2.3110932475884245,Dry,10.405085273706694
6.4,0.67,0.08,2.1,0.045,19.0,48.0,0.9949,3.49,0.49,11.4,Medium,11.34186,Medium,0.011428571428571429,2.110764900995075,Dry,15.620571073191515
9.5,0.78,0.22,1.9,0.077,6.0,32.0,0.9988,3.26,0.56,10.6,Medium,10.58728,Medium,0.022,1.9022827392871444,Dry,28.83151571958876
9.1,0.52,0.33,1.3,0.07,9.0,30.0,0.9978,3.24,0.6,9.3,Low,9.27954,Medium,0.033,1.3028663058729204,Dry,19.02430107526882
12.8,0.84,0.63,2.4,0.088,13.0,35.0,0.9997,3.1,0.6,10.4,Medium,10.396880000000001,High,0.045,2.400720216064819,Dry,15.13775442220412
10.5,0.24,0.47,2.1,0.066,6.0,24.0,0.9978,3.15,0.9,11.0,Medium,10.9758,High,0.042727272727272725,2.1046301864101022,Dry,21.942557340964118
7.8,0.55,0.35,2.2,0.074,21.0,66.0,0.9974,3.25,0.56,9.2,Low,9.176079999999999,Medium,0.04375,2.205734910767997,Dry,18.256228244990528
11.9,0.37,0.69,2.3,0.078,12.0,24.0,0.9958,3.0,0.65,12.8,Medium,12.74624,High,0.057499999999999996,2.3097007431211085,Dry,11.670096243284283
12.3,0.39,0.63,2.3,0.091,6.0,18.0,1.0004,3.16,0.49,9.5,Low,9.5038,High,0.04846153846153846,2.299080367852859,Dry,16.813349433137095
10.4,0.41,0.55,3.2,0.076,22.0,54.0,0.9996,3.15,0.89,9.9,Medium,9.896040000000001,High,0.05,3.201280512204882,Dry,14.213191444144414
12.3,0.39,0.63,2.3,0.091,6.0,18.0,1.0004,3.16,0.49,9.5,Low,9.5038,High,0.04846153846153846,2.299080367852859,Dry,16.813349433137095
8.0,0.67,0.3,2.0,0.06,38.0,62.0,0.9958,3.26,0.56,10.2,Medium,10.15716,Medium,0.03333333333333333,2.008435428800964,Dry,10.588928451667767
11.1,0.45,0.73,3.2,0.066,6.0,22.0,0.9986,3.17,0.66,11.2,Medium,11.18432,High,0.06083333333333333,3.2044862807931103,Dry,20.13321921318196
10.4,0.41,0.55,3.2,0.076,22.0,54.0,0.9996,3.15,0.89,9.9,Medium,9.896040000000001,High,0.05,3.201280512204882,Dry,14.213191444144414
7.0,0.62,0.18,1.5,0.062,7.0,50.0,0.9951,3.08,0.6,9.3,Low,9.254430000000001,Medium,0.0225,1.507386192342478,Dry,38.38432219399387
12.6,0.31,0.72,2.2,0.072,6.0,29.0,0.9987,2.88,0.82,9.8,High,9.787260000000002,High,0.05538461538461538,2.202863722839692,Dry,25.7989659396063
11.9,0.4,0.65,2.15,0.068,7.0,27.0,0.9988,3.06,0.68,11.3,Medium,11.28644,High,0.05416666666666667,2.1525830997196636,Dry,21.002947898951938
15.6,0.685,0.76,3.7,0.1,6.0,43.0,1.0032,2.95,0.68,11.2,Medium,11.23584,High,0.0475,3.6881977671451356,Dry,37.19223983431448
10.0,0.44,0.49,2.7,0.077,11.0,19.0,0.9963,3.23,0.63,11.6,Medium,11.55708,Medium,0.049,2.710027100271003,Dry,10.645484166063994
5.3,0.57,0.01,1.7,0.054,5.0,27.0,0.9934,3.57,0.84,12.5,Medium,12.417499999999999,Medium,0.0016666666666666668,1.7112945439903362,Dry,30.619791073428477
9.5,0.735,0.1,2.1,0.079,6.0,31.0,0.9986,3.23,0.56,10.1,Medium,10.08586,Medium,0.01,2.1029441217704785,Dry,27.987685619226074
12.5,0.38,0.6,2.6,0.081,31.0,72.0,0.9996,3.1,0.73,10.5,Low,10.495800000000001,High,0.04615384615384615,2.6010404161664664,Dry,13.307439990066621
9.3,0.48,0.29,2.1,0.127,6.0,16.0,0.9968,3.22,0.72,11.2,Low,11.164159999999999,Medium,0.028999999999999998,2.106741573033708,Dry,15.62001197963462
8.6,0.53,0.22,2.0,0.1,7.0,27.0,0.9967,3.2,0.56,10.2,Medium,10.16634,Medium,0.024444444444444446,2.0066218521119694,Dry,21.666283775777654
11.9,0.39,0.69,2.8,0.095,17.0,35.0,0.9994,3.1,0.61,10.8,Medium,10.793520000000001,High,0.057499999999999996,2.801681008605163,Dry,12.053738584114306
11.9,0.39,0.69,2.8,0.095,17.0,35.0,0.9994,3.1,0.61,10.8,Medium,10.793520000000001,High,0.057499999999999996,2.801681008605163,Dry,12.053738584114306
8.4,0.37,0.53,1.8,0.413,9.0,26.0,0.9979,3.06,1.06,9.1,Medium,9.08089,Medium,0.05888888888888889,1.8037879547048803,Dry,17.739376020019584
6.8,0.56,0.03,1.7,0.084,18.0,35.0,0.9968,3.44,0.63,10.0,Medium,9.968,Medium,0.004285714285714286,1.7054574638844302,Dry,12.730926243491744
10.4,0.33,0.63,2.8,0.084,5.0,22.0,0.9998,3.26,0.74,11.2,Medium,11.197759999999999,High,0.057272727272727274,2.800560112022404,Dry,23.990389623194282
7.0,0.23,0.4,1.6,0.063,21.0,67.0,0.9952,3.5,0.63,11.1,Low,11.046719999999999,Medium,0.05714285714285715,1.6077170418006432,Dry,18.907707221640372
11.3,0.62,0.67,5.2,0.086,6.0,19.0,0.9988,3.22,0.69,13.4,High,13.38392,High,0.05583333333333334,5.206247496996395,Medium,17.55121892525051
8.9,0.59,0.39,2.3,0.095,5.0,22.0,0.9986,3.37,0.58,10.3,Low,10.285580000000001,Medium,0.043333333333333335,2.3032245143200476,Dry,24.36221093281421
9.2,0.63,0.21,2.7,0.097,29.0,65.0,0.9988,3.28,0.58,9.6,Low,9.58848,Medium,0.020999999999999998,2.7032438926712055,Dry,13.456926061659718
10.4,0.33,0.63,2.8,0.084,5.0,22.0,0.9998,3.26,0.74,11.2,Medium,11.197759999999999,High,0.057272727272727274,2.800560112022404,Dry,23.990389623194282
11.6,0.58,0.66,2.2,0.074,10.0,47.0,1.0008,3.25,0.57,9.0,Low,9.0072,High,0.055,2.1982414068745006,Dry,25.40554318627826
9.2,0.43,0.52,2.3,0.083,14.0,23.0,0.9976,3.35,0.61,11.3,Medium,11.27288,Medium,0.052000000000000005,2.3055332798716917,Dry,10.468073725674818
8.3,0.615,0.22,2.6,0.087,6.0,19.0,0.9982,3.26,0.61,9.3,Low,9.28326,Medium,0.024444444444444446,2.604688439190543,Dry,18.252116160374943
11.0,0.26,0.68,2.55,0.085,10.0,25.0,0.997,3.18,0.61,11.8,Low,11.764600000000002,High,0.06181818181818182,2.5576730190571713,Dry,14.37687651331719
8.1,0.66,0.7,2.2,0.098,25.0,129.0,0.9972,3.08,0.53,9.0,Low,8.9748,Medium,0.07777777777777778,2.2061772964300044,Dry,28.218869621481723
11.5,0.315,0.54,2.1,0.084,5.0,15.0,0.9987,2.98,0.7,9.2,Medium,9.188039999999999,High,0.045000000000000005,2.102733553619706,Dry,16.839994941677777
10.0,0.29,0.4,2.9,0.098,10.0,26.0,1.0006,3.48,0.91,9.7,Low,9.70582,Medium,0.04,2.8982610433739757,Dry,15.227944920702193
10.3,0.5,0.42,2.0,0.069,21.0,51.0,0.9982,3.16,0.72,11.5,Medium,11.4793,High,0.03818181818181818,2.003606491685033,Dry,14.102320807944029
8.8,0.46,0.45,2.6,0.065,7.0,18.0,0.9947,3.32,0.79,14.0,Medium,13.9258,Medium,0.05,2.6138534231426562,Dry,15.05729291251384
11.4,0.36,0.69,2.1,0.09,6.0,21.0,1.0,3.17,0.62,9.2,Medium,9.2,High,0.057499999999999996,2.1,Dry,19.44534376039219
8.7,0.82,0.02,1.2,0.07,36.0,48.0,0.9952,3.2,0.58,9.8,Low,9.75296,Medium,0.002,1.2057877813504823,Dry,9.053148480028673
13.0,0.32,0.65,2.6,0.093,15.0,47.0,0.9996,3.05,0.61,10.6,Low,10.59576,High,0.05,2.6010404161664664,Dry,17.318667032819985
9.6,0.54,0.42,2.4,0.081,25.0,52.0,0.997,3.2,0.71,11.4,Medium,11.3658,Medium,0.041999999999999996,2.4072216649949847,Dry,12.481344429335751
12.5,0.37,0.55,2.6,0.083,25.0,68.0,0.9995,3.15,0.82,10.4,Medium,10.3948,High,0.04230769230769231,2.6013006503251623,Dry,15.32159191403131
9.9,0.35,0.55,2.1,0.062,5.0,14.0,0.9971,3.26,0.79,10.6,Low,10.56926,Medium,0.05500000000000001,2.106107712365861,Dry,16.079038511701324
10.5,0.28,0.51,1.7,0.08,10.0,24.0,0.9982,3.2,0.89,9.4,Medium,9.38308,High,0.046363636363636364,1.703065517932278,Dry,14.093025147348973
9.6,0.68,0.24,2.2,0.087,5.0,28.0,0.9988,3.14,0.6,10.2,Low,10.187759999999999,Medium,0.024,2.2026431718061676,Dry,30.103609362652445
9.3,0.27,0.41,2.0,0.091,6.0,16.0,0.998,3.28,0.7,9.7,Low,9.6806,Medium,0.040999999999999995,2.004008016032064,Dry,15.64199745682614
10.4,0.24,0.49,1.8,0.075,6.0,20.0,0.9977,3.18,1.06,11.0,Medium,10.9747,High,0.04454545454545455,1.8041495439510875,Dry,18.688740177439794
9.6,0.68,0.24,2.2,0.087,5.0,28.0,0.9988,3.14,0.6,10.2,Low,10.187759999999999,Medium,0.024,2.2026431718061676,Dry,30.103609362652445
9.4,0.685,0.11,2.7,0.077,6.0,31.0,0.9984,3.19,0.7,10.1,Medium,10.083839999999999,Medium,0.011,2.7043269230769234,Dry,27.94258766369323
10.6,0.28,0.39,15.5,0.069,6.0,23.0,1.0026,3.12,0.66,9.2,Low,9.223919999999998,High,0.035454545454545454,15.459804508278477,Sweet,21.00469956722846
9.4,0.3,0.56,2.8,0.08,6.0,17.0,0.9964,3.15,0.92,11.7,High,11.657879999999999,Medium,0.05600000000000001,2.8101164191087915,Dry,16.242613113084314
10.6,0.36,0.59,2.2,0.152,6.0,18.0,0.9986,3.04,1.05,9.4,Low,9.386840000000001,High,0.053636363636363635,2.2030843180452635,Dry,17.109586573507542
10.6,0.36,0.6,2.2,0.152,7.0,18.0,0.9986,3.04,1.06,9.4,Low,9.386840000000001,High,0.05454545454545454,2.2030843180452635,Dry,14.966729430650402
10.6,0.44,0.68,4.1,0.114,6.0,24.0,0.997,3.06,0.66,13.4,Medium,13.3598,High,0.06181818181818182,4.112337011033099,Medium,21.80108239964238
10.2,0.67,0.39,1.9,0.054,6.0,17.0,0.9976,3.17,0.47,10.0,Low,9.976,High,0.035454545454545454,1.904570970328789,Dry,16.14581404341418
10.2,0.67,0.39,1.9,0.054,6.0,17.0,0.9976,3.17,0.47,10.0,Low,9.976,High,0.035454545454545454,1.904570970328789,Dry,16.14581404341418
10.2,0.645,0.36,1.8,0.053,5.0,14.0,0.9982,3.17,0.42,10.0,Medium,9.982,High,0.03272727272727272,1.8032458425165299,Dry,15.986251587867269
11.6,0.32,0.55,2.8,0.081,35.0,67.0,1.0002,3.32,0.92,10.8,Medium,10.80216,High,0.04583333333333334,2.7994401119776042,Dry,11.436339758125472
9.3,0.39,0.4,2.6,0.073,10.0,26.0,0.9984,3.34,0.75,10.2,Medium,10.183679999999999,Medium,0.04,2.604166666666667,Dry,15.22547955699475
9.3,0.775,0.27,2.8,0.078,24.0,56.0,0.9984,3.31,0.67,10.6,Medium,10.583039999999999,Medium,0.027000000000000003,2.8044871794871793,Dry,13.828301741877516
9.2,0.41,0.5,2.5,0.055,12.0,25.0,0.9952,3.34,0.79,13.3,Medium,13.23616,Medium,0.05,2.512057877813505,Dry,12.551741474899366
8.9,0.4,0.51,2.6,0.052,13.0,27.0,0.995,3.32,0.9,13.4,Medium,13.333,Medium,0.05666666666666667,2.613065326633166,Dry,12.556303646602155
8.7,0.69,0.31,3.0,0.086,23.0,81.0,1.0002,3.48,0.74,11.6,Medium,11.602319999999999,Medium,0.034444444444444444,2.9994001199760048,Dry,19.963157538146348
6.5,0.39,0.23,8.3,0.051,28.0,91.0,0.9952,3.44,0.55,12.1,Medium,12.04192,Medium,0.032857142857142856,8.340032154340838,Medium,19.12396407521345
10.7,0.35,0.53,2.6,0.07,5.0,16.0,0.9972,3.15,0.65,11.0,High,10.969199999999999,High,0.04818181818181819,2.6073004412354592,Dry,17.885073064866166
7.8,0.52,0.25,1.9,0.081,14.0,38.0,0.9984,3.43,0.65,9.0,Medium,8.9856,Medium,0.03125,1.9030448717948718,Dry,16.282155807218622
7.2,0.34,0.32,2.5,0.09,43.0,113.0,0.9966,3.32,0.79,11.1,Low,11.06226,Medium,0.04,2.5085289985952235,Dry,15.87118865418067
10.7,0.35,0.53,2.6,0.07,5.0,16.0,0.9972,3.15,0.65,11.0,High,10.969199999999999,High,0.04818181818181819,2.6073004412354592,Dry,17.885073064866166
8.7,0.69,0.31,3.0,0.086,23.0,81.0,1.0002,3.48,0.74,11.6,Medium,11.602319999999999,Medium,0.034444444444444444,2.9994001199760048,Dry,19.963157538146348
7.8,0.52,0.25,1.9,0.081,14.0,38.0,0.9984,3.43,0.65,9.0,Medium,8.9856,Medium,0.03125,1.9030448717948718,Dry,16.282155807218622
10.4,0.44,0.73,6.55,0.074,38.0,76.0,0.999,3.17,0.85,12.0,Medium,11.988,High,0.06636363636363636,6.556556556556556,Medium,11.826455592932822
10.4,0.44,0.73,6.55,0.074,38.0,76.0,0.999,3.17,0.85,12.0,Medium,11.988,High,0.06636363636363636,6.556556556556556,Medium,11.826455592932822
10.5,0.26,0.47,1.9,0.078,6.0,24.0,0.9976,3.18,1.04,10.9,Medium,10.873840000000001,High,0.042727272727272725,1.904570970328789,Dry,22.006106308518582
10.5,0.24,0.42,1.8,0.077,6.0,22.0,0.9976,3.21,1.05,10.8,Medium,10.774080000000001,High,0.03818181818181818,1.8043303929430634,Dry,20.36642289181837
10.2,0.49,0.63,2.9,0.072,10.0,26.0,0.9968,3.16,0.78,12.5,Medium,12.46,High,0.057272727272727274,2.909309791332263,Dry,14.902636759820187
10.4,0.24,0.46,1.8,0.075,6.0,21.0,0.9976,3.25,1.02,10.8,Medium,10.774080000000001,High,0.04181818181818182,1.8043303929430634,Dry,19.56091137398488
11.2,0.67,0.55,2.3,0.084,6.0,13.0,1.0,3.17,0.71,9.5,Medium,9.5,High,0.04583333333333334,2.3,Dry,12.740898112301728
10.0,0.59,0.31,2.2,0.09,26.0,62.0,0.9994,3.18,0.63,10.2,Medium,10.193879999999998,High,0.028181818181818183,2.2013207924754856,Dry,13.998662732893514
13.3,0.29,0.75,2.8,0.084,23.0,43.0,0.9986,3.04,0.68,11.4,Medium,11.38404,High,0.05357142857142857,2.803925495693971,Dry,10.920346187256857
12.4,0.42,0.49,4.6,0.073,19.0,43.0,0.9978,3.02,0.61,9.5,Low,9.4791,High,0.03769230769230769,4.610142313088795,Medium,12.942704894412012
10.0,0.59,0.31,2.2,0.09,26.0,62.0,0.9994,3.18,0.63,10.2,Medium,10.193879999999998,High,0.028181818181818183,2.2013207924754856,Dry,13.998662732893514
10.7,0.4,0.48,2.1,0.125,15.0,49.0,0.998,3.03,0.81,9.7,Medium,9.6806,High,0.04363636363636363,2.1042084168336674,Dry,18.363815964293593
10.5,0.51,0.64,2.4,0.107,6.0,15.0,0.9973,3.09,0.66,11.8,Medium,11.76814,High,0.05818181818181818,2.406497543367091,Dry,14.441180974162586
10.5,0.51,0.64,2.4,0.107,6.0,15.0,0.9973,3.09,0.66,11.8,Medium,11.76814,High,0.05818181818181818,2.406497543367091,Dry,14.441180974162586
8.5,0.655,0.49,6.1,0.122,34.0,151.0,1.001,3.31,1.14,9.3,Low,9.3093,Medium,0.05444444444444444,6.093906093906094,Medium,24.53948671126667
12.5,0.6,0.49,4.3,0.1,5.0,14.0,1.001,3.25,0.74,11.9,Medium,11.9119,High,0.03769230769230769,4.295704295704296,Medium,15.666202476630188
10.4,0.61,0.49,2.1,0.2,5.0,16.0,0.9994,3.16,0.63,8.4,Low,8.39496,High,0.04454545454545455,2.1012607564538723,Dry,18.348723597488192
10.9,0.21,0.49,2.8,0.088,11.0,32.0,0.9972,3.22,0.68,11.7,Medium,11.66724,High,0.04454545454545455,2.8078620136381867,Dry,16.449671343346946
7.3,0.365,0.49,2.5,0.088,39.0,106.0,0.9966,3.36,0.78,11.0,Low,10.9626,Medium,0.06125,2.5085289985952235,Dry,16.312982480488657
9.8,0.25,0.49,2.7,0.088,15.0,33.0,0.9982,3.42,0.9,10.0,Medium,9.982,Medium,0.049,2.704868763774795,Dry,13.218618210653979
7.6,0.41,0.49,2.0,0.088,16.0,43.0,0.998,3.48,0.64,9.1,Low,9.0818,Medium,0.06125,2.004008016032064,Dry,16.25240793212766
8.2,0.39,0.49,2.3,0.099,47.0,133.0,0.9979,3.38,0.99,9.8,Low,9.77942,Medium,0.05444444444444444,2.3048401643451246,Dry,16.71667836774693
9.3,0.4,0.49,2.5,0.085,38.0,142.0,0.9978,3.22,0.55,9.4,Low,9.37932,Medium,0.049,2.5055121266786933,Dry,20.902777155655095
9.2,0.43,0.49,2.4,0.086,23.0,116.0,0.9976,3.23,0.64,9.5,Low,9.4772,Medium,0.049,2.4057738572574174,Dry,27.461940907910634
10.4,0.64,0.24,2.8,0.105,29.0,53.0,0.9998,3.24,0.67,9.9,Low,9.89802,High,0.021818181818181816,2.800560112022404,Dry,11.1732580609665
7.3,0.365,0.49,2.5,0.088,39.0,106.0,0.9966,3.36,0.78,11.0,Low,10.9626,Medium,0.06125,2.5085289985952235,Dry,16.312982480488657
7.0,0.38,0.49,2.5,0.097,33.0,85.0,0.9962,3.39,0.77,11.4,Medium,11.35668,Medium,0.06999999999999999,2.5095362377032724,Dry,15.721515318620654
8.2,0.42,0.49,2.6,0.084,32.0,55.0,0.9988,3.34,0.75,8.7,Medium,8.68956,Medium,0.05444444444444444,2.6031237484981977,Dry,11.123701726170513
9.9,0.63,0.24,2.4,0.077,6.0,33.0,0.9974,3.09,0.57,9.4,Low,9.37556,High,0.021818181818181816,2.40625626629236,Dry,29.52658625456931
9.1,0.22,0.24,2.1,0.078,1.0,28.0,0.999,3.41,0.87,10.3,Medium,10.2897,Medium,0.026666666666666665,2.1021021021021022,Dry,142.36026389936765
11.9,0.38,0.49,2.7,0.098,12.0,42.0,1.0004,3.16,0.61,10.3,Low,10.304120000000001,High,0.04083333333333333,2.6989204318272693,Dry,19.31210070462184
11.9,0.38,0.49,2.7,0.098,12.0,42.0,1.0004,3.16,0.61,10.3,Low,10.304120000000001,High,0.04083333333333333,2.6989204318272693,Dry,19.31210070462184
10.3,0.27,0.24,2.1,0.072,15.0,33.0,0.9956,3.22,0.66,12.8,Medium,12.743680000000001,High,0.021818181818181816,2.1092808356769788,Dry,12.973583928001004
10.0,0.48,0.24,2.7,0.102,13.0,32.0,1.0,3.28,0.56,10.0,Medium,10.0,Medium,0.024,2.7,Dry,14.431477029914527
9.1,0.22,0.24,2.1,0.078,1.0,28.0,0.999,3.41,0.87,10.3,Medium,10.2897,Medium,0.026666666666666665,2.1021021021021022,Dry,142.36026389936765
9.9,0.63,0.24,2.4,0.077,6.0,33.0,0.9974,3.09,0.57,9.4,Low,9.37556,High,0.021818181818181816,2.40625626629236,Dry,29.52658625456931
8.1,0.825,0.24,2.1,0.084,5.0,13.0,0.9972,3.37,0.77,10.7,Medium,10.670039999999998,Medium,0.026666666666666665,2.10589651022864,Dry,15.490096202670617
12.9,0.35,0.49,5.8,0.066,5.0,35.0,1.0014,3.2,0.66,12.0,Medium,12.0168,High,0.03769230769230769,5.79189135210705,Medium,36.55877258741566
11.2,0.5,0.74,5.15,0.1,5.0,17.0,0.9996,3.22,0.62,11.2,Low,11.19552,High,0.06166666666666667,5.152060824329732,Medium,18.80070091575868
9.2,0.59,0.24,3.3,0.101,20.0,47.0,0.9988,3.26,0.67,9.6,Low,9.58848,Medium,0.024,3.303964757709251,Dry,13.966528854899707
9.5,0.46,0.49,6.3,0.064,5.0,17.0,0.9988,3.21,0.73,11.0,Medium,10.9868,Medium,0.049,6.307569082899479,Medium,19.002997830307184
9.3,0.715,0.24,2.1,0.07,5.0,20.0,0.9966,3.12,0.59,9.9,Low,9.866340000000001,Medium,0.024,2.107164358819988,Dry,22.117547099260793
11.2,0.66,0.24,2.5,0.085,16.0,53.0,0.9993,3.06,0.72,11.0,Medium,10.9923,High,0.02,2.5017512258581007,Dry,18.362291295434837
14.3,0.31,0.74,1.8,0.075,6.0,15.0,1.0008,2.86,0.79,8.4,Medium,8.40672,High,0.04933333333333333,1.7985611510791368,Dry,14.094753257235096
9.1,0.47,0.49,2.6,0.094,38.0,106.0,0.9982,3.08,0.59,9.1,Low,9.08362,Medium,0.049,2.604688439190543,Dry,16.143484087211146
7.5,0.55,0.24,2.0,0.078,10.0,28.0,0.9983,3.45,0.78,9.5,Medium,9.48385,Medium,0.03,2.003405789842733,Dry,16.763930219439274
10.6,0.31,0.49,2.5,0.067,6.0,21.0,0.9987,3.26,0.86,10.7,Medium,10.68609,High,0.04454545454545455,2.5032542304996497,Dry,19.460695646884513
12.4,0.35,0.49,2.6,0.079,27.0,69.0,0.9994,3.12,0.75,10.4,Medium,10.39376,High,0.03769230769230769,2.6015609365619374,Dry,14.49057802756113
9.0,0.53,0.49,1.9,0.171,6.0,25.0,0.9975,3.27,0.61,9.4,Medium,9.3765,Medium,0.049,1.9047619047619047,Dry,23.40176261994159
6.8,0.51,0.01,2.1,0.074,9.0,25.0,0.9958,3.33,0.56,9.5,Medium,9.4601,Medium,0.0014285714285714286,2.108857200241012,Dry,16.77451122254017
9.4,0.43,0.24,2.8,0.092,14.0,45.0,0.998,3.19,0.73,10.0,Medium,9.98,Medium,0.024,2.8056112224448895,Dry,18.227247307035135
9.5,0.46,0.24,2.7,0.092,14.0,44.0,0.998,3.12,0.74,10.0,Medium,9.98,Medium,0.024,2.705410821643287,Dry,17.820611548856153
5.0,1.04,0.24,1.6,0.05,32.0,96.0,0.9934,3.74,0.62,11.5,Low,11.4241,Medium,0.04,1.6106301590497283,Dry,18.831873188405797
15.5,0.645,0.49,4.2,0.095,10.0,23.0,1.00315,2.92,0.74,11.1,Low,11.134965,High,0.030625,4.186811543637542,Medium,12.83707809360045
15.5,0.645,0.49,4.2,0.095,10.0,23.0,1.00315,2.92,0.74,11.1,Low,11.134965,High,0.030625,4.186811543637542,Medium,12.83707809360045
10.9,0.53,0.49,4.6,0.118,10.0,17.0,1.0002,3.07,0.56,11.7,Medium,11.70234,High,0.04454545454545455,4.599080183963207,Medium,10.288050199009719
15.6,0.645,0.49,4.2,0.095,10.0,23.0,1.00315,2.92,0.74,11.1,Low,11.134965,High,0.030625,4.186811543637542,Medium,12.831282919417633
10.9,0.53,0.49,4.6,0.118,10.0,17.0,1.0002,3.07,0.56,11.7,Medium,11.70234,High,0.04454545454545455,4.599080183963207,Medium,10.288050199009719
13.0,0.47,0.49,4.3,0.085,6.0,47.0,1.0021,3.3,0.68,12.7,Medium,12.726669999999999,High,0.03769230769230769,4.2909889232611516,Medium,40.77521661965842
12.7,0.6,0.49,2.8,0.075,5.0,19.0,0.9994,3.14,0.57,11.4,Low,11.39316,High,0.03769230769230769,2.801681008605163,Dry,20.633843101343103
9.0,0.44,0.49,2.4,0.078,26.0,121.0,0.9978,3.23,0.58,9.2,Low,9.17976,Medium,0.05444444444444444,2.4052916416115453,Dry,25.544879406408928
9.0,0.54,0.49,2.9,0.094,41.0,110.0,0.9982,3.08,0.61,9.2,Low,9.18344,Medium,0.049,2.905229412943298,Dry,15.599642701934215
7.6,0.29,0.49,2.7,0.092,25.0,60.0,0.9971,3.31,0.61,10.1,Medium,10.07071,Medium,0.06125,2.7078527730418216,Dry,14.636308769891407
13.0,0.47,0.49,4.3,0.085,6.0,47.0,1.0021,3.3,0.68,12.7,Medium,12.726669999999999,High,0.03769230769230769,4.2909889232611516,Medium,40.77521661965842
12.7,0.6,0.49,2.8,0.075,5.0,19.0,0.9994,3.14,0.57,11.4,Low,11.39316,High,0.03769230769230769,2.801681008605163,Dry,20.633843101343103
8.7,0.7,0.24,2.5,0.226,5.0,15.0,0.9991,3.32,0.6,9.0,Medium,8.9919,Medium,0.026666666666666665,2.502252026824142,Dry,17.656291180683446
8.7,0.7,0.24,2.5,0.226,5.0,15.0,0.9991,3.32,0.6,9.0,Medium,8.9919,Medium,0.026666666666666665,2.502252026824142,Dry,17.656291180683446
